Date,Open,High,Low,Close,Adj Close,Volume
2003-09-01,10.550000,13.800000,10.050000,10.700000,7.751755,895500
2003-10-01,11.000000,11.000000,8.200000,9.800000,7.150131,1796200
2003-11-01,9.850000,10.950000,9.600000,10.850000,7.916214,911500
2003-12-01,10.850000,11.950000,10.300000,11.840000,8.638525,1397500
2004-01-01,11.900000,13.600000,9.400000,12.200000,8.901179,3558700
2004-02-01,12.250000,20.150000,11.400000,12.150000,8.864700,1460700
2004-03-01,12.500000,13.200000,6.700000,12.800000,9.338945,1857600
2004-04-01,12.200000,13.500000,8.400000,12.000000,8.815500,1361900
2004-05-01,11.800000,12.800000,11.000000,12.800000,9.403196,906900
2004-06-01,13.350000,15.400000,13.200000,14.550000,10.688793,2549100
2004-07-01,14.550000,15.100000,13.300000,14.050000,10.321482,1822500
2004-08-01,13.750000,15.350000,13.250000,13.500000,9.917436,2727600
2004-09-01,13.300000,15.450000,12.950000,15.450000,11.349955,1208300
2004-10-01,15.200000,15.350000,14.000000,14.250000,10.528139,1196100
2004-11-01,14.300000,15.400000,9.100000,14.950000,11.045313,1053000
2004-12-01,15.100000,15.850000,14.250000,15.850000,11.710247,3458800
2005-01-01,15.700000,15.850000,13.700000,14.250000,10.528139,2119100
2005-02-01,14.200000,14.450000,13.700000,13.900000,10.269555,3249400
2005-03-01,14.000000,14.400000,13.100000,13.780000,10.180896,3012700
2005-04-01,13.500000,14.400000,13.250000,14.050000,10.445565,2241800
2005-05-01,14.250000,14.450000,13.200000,13.340000,9.917709,1319000
2005-06-01,13.300000,13.550000,12.750000,13.120000,9.754148,2492700
2005-07-01,13.100000,14.050000,12.850000,13.300000,9.887972,1816800
2005-08-01,13.050000,13.650000,12.200000,13.150000,9.776451,5037000
2005-09-01,13.350000,14.950000,13.150000,14.300000,10.631429,1993100
2005-10-01,14.250000,15.250000,13.750000,14.250000,10.653314,5491700
2005-11-01,14.250000,14.300000,13.000000,13.650000,10.204754,2286700
2005-12-01,13.800000,15.300000,13.600000,15.250000,11.400916,4179600
2006-01-01,15.350000,18.200001,15.050000,17.049999,12.746597,5855200
2006-02-01,16.850000,19.049999,16.500000,18.700001,13.980140,8408300
2006-03-01,18.950001,18.950001,17.200001,18.549999,13.867999,3526700
2006-04-01,18.650000,18.950001,17.900000,18.700001,14.037059,3554300
2006-05-01,18.900000,22.500000,17.150000,21.150000,15.876136,5034900
2006-06-01,21.200001,21.750000,19.790001,20.889999,15.680970,6505400
2006-07-01,21.049999,24.250000,20.820000,23.450001,17.602619,6459500
2006-08-01,23.200001,25.799999,22.250000,25.700001,19.291571,3463500
2006-09-01,26.350000,26.700001,23.500000,25.850000,19.404167,3423100
2006-10-01,25.950001,26.700001,22.309999,25.750000,19.387140,1755200
2006-11-01,25.700001,30.049999,25.600000,30.049999,22.624611,3750000
2006-12-01,29.750000,32.750000,29.100000,32.500000,24.469210,2458800
2007-01-01,32.439999,37.250000,29.600000,37.099998,27.932552,2550400
2007-02-01,36.450001,36.599998,32.049999,33.099998,24.920959,4743100
2007-03-01,33.500000,36.799999,31.900000,36.299999,27.330229,2698800
2007-04-01,36.500000,40.700001,35.400002,40.049999,30.817793,2606200
2007-05-01,40.799999,44.000000,39.900002,43.650002,33.587925,3653600
2007-06-01,44.400002,46.150002,40.080002,45.849998,35.280792,2393700
2007-07-01,47.400002,65.349998,46.500000,61.250000,47.130825,6026300
2007-08-01,58.750000,61.000000,51.750000,58.150002,44.745426,4551200
2007-09-01,56.349998,65.669998,53.500000,64.849998,49.900959,2517500
2007-10-01,65.489998,78.500000,64.150002,78.500000,60.591385,4984600
2007-11-01,76.750000,78.500000,60.250000,76.099998,58.738911,6019400
2007-12-01,77.500000,78.410004,68.250000,74.050003,57.156593,3483000
2008-01-01,73.949997,74.900002,56.700001,61.750000,47.662651,6764900
2008-02-01,62.549999,68.400002,54.000000,62.400002,48.164371,6391200
2008-03-01,62.099998,67.699997,60.150002,64.849998,50.055435,3847900
2008-04-01,67.089996,71.150002,64.050003,68.690002,54.356434,7989700
2008-05-01,68.550003,74.120003,59.500000,68.949997,54.562176,3733300
2008-06-01,67.150002,72.750000,64.650002,69.849998,55.274368,5665000
2008-07-01,70.699997,72.150002,55.000000,57.750000,45.699284,8697000
2008-08-01,59.500000,62.299999,54.730000,61.099998,48.350235,9143500
2008-09-01,60.900002,62.450001,49.349998,53.070000,41.995865,9072400
2008-10-01,49.250000,50.000000,32.000000,39.000000,31.467495,12071200
2008-11-01,40.150002,45.360001,32.000000,38.840000,31.338402,13832400
2008-12-01,38.150002,67.650002,36.799999,47.750000,38.527504,12448200
